Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Rindere,Piston,0,H2_00027.ogg,H2_00203.ogg,
Rindere,Piston,0,H2_00028.ogg,H2_00204.ogg,
Rindere,Piston,0,H2_09827.ogg,H2_00203.ogg,
Rindere,Piston,0,H2_09828.ogg,H2_00204.ogg,
Rindere,Piston,0,H2_adult_60549.ogg,H2_adult_60764.ogg,
Rindere,Piston,0,H2_adult_60548.ogg,H2_adult_60765.ogg,
Rindere,Piston,1,H2_00029.ogg,H2_00205.ogg,
Rindere,Piston,1,H2_00030.ogg,H2_00206.ogg,
Rindere,Piston,1,H2_09829.ogg,H2_00205.ogg,
Rindere,Piston,1,H2_09830.ogg,H2_00206.ogg,
Rindere,Piston,1,H2_adult_60550.ogg,H2_adult_60766.ogg,
Rindere,Piston,1,H2_adult_60551.ogg,H2_adult_60767.ogg,
Rindere,Piston,2,H2_00031.ogg,H2_00207.ogg,
Rindere,Piston,2,H2_00032.ogg,H2_00208.ogg,
Rindere,Piston,2,H2_09831.ogg,H2_00207.ogg,
Rindere,Piston,2,H2_09832.ogg,H2_00208.ogg,
Rindere,Piston,2,H2_adult_60552.ogg,H2_adult_60768.ogg,
Rindere,Piston,2,H2_adult_60553.ogg,H2_adult_60769.ogg,
Rindere,Piston,3,H2_00033.ogg,H2_00209.ogg,
Rindere,Piston,3,H2_00034.ogg,H2_00210.ogg,
Rindere,Piston,3,H2_09833.ogg,H2_00209.ogg,
Rindere,Piston,3,H2_09834.ogg,H2_00210.ogg,
Rindere,Piston,3,H2_adult_60554.ogg,H2_adult_60770.ogg,
Rindere,Piston,3,H2_adult_60555.ogg,H2_adult_60771.ogg,
Rindere,Kiss,0,H2_00067.ogg,H2_00067.ogg,
Rindere,Kiss,0,H2_00068.ogg,H2_00068.ogg,
Rindere,Kiss,0,H2_adult_60596.ogg,H2_adult_60596.ogg,
Rindere,Kiss,0,H2_adult_60597.ogg,H2_adult_60597.ogg,
Rindere,Kiss,1,H2_00069.ogg,H2_00069.ogg,
Rindere,Kiss,1,H2_00070.ogg,H2_00070.ogg,
Rindere,Kiss,1,H2_adult_60598.ogg,H2_adult_60598.ogg,
Rindere,Kiss,1,H2_adult_60599.ogg,H2_adult_60599.ogg,
Rindere,Kiss,2,H2_00071.ogg,H2_00071.ogg,
Rindere,Kiss,2,H2_00072.ogg,H2_00072.ogg,
Rindere,Kiss,2,H2_adult_60600.ogg,H2_adult_60600.ogg,
Rindere,Kiss,2,H2_adult_60601.ogg,H2_adult_60601.ogg,
Rindere,Kiss,3,H2_00073.ogg,H2_00073.ogg,
Rindere,Kiss,3,H2_00074.ogg,H2_00074.ogg,
Rindere,Kiss,3,H2_adult_60602.ogg,H2_adult_60602.ogg,
Rindere,Kiss,3,H2_adult_60603.ogg,H2_adult_60603.ogg,
Rindere,Pain,0,H2_00051.ogg,H2_00203.ogg,
Rindere,Pain,0,H2_00052.ogg,H2_00204.ogg,
Rindere,Pain,0,H2_09835.ogg,H2_00203.ogg,
Rindere,Pain,0,H2_09836.ogg,H2_00204.ogg,
Rindere,Pain,0,H2_adult_60580.ogg,H2_adult_60764.ogg,
Rindere,Pain,0,H2_adult_60581.ogg,H2_adult_60765.ogg,
Rindere,Pain,1,H2_00053.ogg,H2_00205.ogg,
Rindere,Pain,1,H2_00054.ogg,H2_00206.ogg,
Rindere,Pain,1,H2_09837.ogg,H2_00205.ogg,
Rindere,Pain,1,H2_09838.ogg,H2_00206.ogg,
Rindere,Pain,1,H2_adult_60582.ogg,H2_adult_60766.ogg,
Rindere,Pain,1,H2_adult_60583.ogg,H2_adult_60767.ogg,
Rindere,Pain,2,H2_00055.ogg,H2_00207.ogg,
Rindere,Pain,2,H2_00056.ogg,H2_00208.ogg,
Rindere,Pain,2,H2_09839.ogg,H2_00207.ogg,
Rindere,Pain,2,H2_09840.ogg,H2_00208.ogg,
Rindere,Pain,2,H2_adult_60584.ogg,H2_adult_60768.ogg,
Rindere,Pain,2,H2_adult_60585.ogg,H2_adult_60769.ogg,
Rindere,Pain,3,H2_00057.ogg,H2_00209.ogg,
Rindere,Pain,3,H2_00058.ogg,H2_00210.ogg,
Rindere,Pain,3,H2_09841.ogg,H2_00209.ogg,
Rindere,Pain,3,H2_09842.ogg,H2_00210.ogg,
Rindere,Pain,3,H2_adult_60586.ogg,H2_adult_60770.ogg,
Rindere,Pain,3,H2_adult_60587.ogg,H2_adult_60771.ogg,
Rindere,Fellatio,0,H2_00075.ogg,H2_00075.ogg,
Rindere,Fellatio,0,H2_00076.ogg,H2_00076.ogg,
Rindere,Fellatio,0,H2_adult_60604.ogg,H2_adult_60604.ogg,
Rindere,Fellatio,0,H2_adult_60605.ogg,H2_adult_60605.ogg,
Rindere,Fellatio,1,H2_00077.ogg,H2_00077.ogg,
Rindere,Fellatio,1,H2_00078.ogg,H2_00078.ogg,
Rindere,Fellatio,1,H2_adult_60606.ogg,H2_adult_60606.ogg,
Rindere,Fellatio,1,H2_adult_60607.ogg,H2_adult_60607.ogg,
Rindere,Fellatio,2,H2_00079.ogg,H2_00079.ogg,
Rindere,Fellatio,2,H2_00080.ogg,H2_00080.ogg,
Rindere,Fellatio,2,H2_adult_60608.ogg,H2_adult_60608.ogg,
Rindere,Fellatio,2,H2_adult_60609.ogg,H2_adult_60609.ogg,
Rindere,Fellatio,3,H2_00081.ogg,H2_00081.ogg,
Rindere,Fellatio,3,H2_00082.ogg,H2_00082.ogg,
Rindere,Fellatio,3,H2_adult_60610.ogg,H2_adult_60610.ogg,
Rindere,Fellatio,3,H2_adult_60611.ogg,H2_adult_60611.ogg,
Rindere,DeepThroat,0,H2_00163.ogg,H2_00227.ogg,
Rindere,DeepThroat,0,H2_00164.ogg,H2_00228.ogg,
Rindere,DeepThroat,0,H2_adult_60724.ogg,H2_adult_60788.ogg,
Rindere,DeepThroat,0,H2_adult_60725.ogg,H2_adult_60789.ogg,
Rindere,DeepThroat,1,H2_00165.ogg,H2_00229.ogg,
Rindere,DeepThroat,1,H2_00166.ogg,H2_00230.ogg,
Rindere,DeepThroat,1,H2_adult_60726.ogg,H2_adult_60790.ogg,
Rindere,DeepThroat,1,H2_adult_60727.ogg,H2_adult_60791.ogg,
Rindere,DeepThroat,2,H2_00167.ogg,H2_00231.ogg,
Rindere,DeepThroat,2,H2_00168.ogg,H2_00232.ogg,
Rindere,DeepThroat,2,H2_adult_60728.ogg,H2_adult_60792.ogg,
Rindere,DeepThroat,2,H2_adult_60729.ogg,H2_adult_60793.ogg,
Rindere,DeepThroat,3,H2_00169.ogg,H2_00233.ogg,
Rindere,DeepThroat,3,H2_00170.ogg,H2_00234.ogg,
Rindere,DeepThroat,3,H2_adult_60730.ogg,H2_adult_60794.ogg,
Rindere,DeepThroat,3,H2_adult_60731.ogg,H2_adult_60795.ogg,
Rindere,PainFellatio,0,H2_00179.ogg,H2_00227.ogg,
Rindere,PainFellatio,0,H2_00180.ogg,H2_00228.ogg,
Rindere,PainFellatio,0,H2_adult_60740.ogg,H2_adult_60788.ogg,
Rindere,PainFellatio,0,H2_adult_60741.ogg,H2_adult_60789.ogg,
Rindere,PainFellatio,1,H2_00181.ogg,H2_00229.ogg,
Rindere,PainFellatio,1,H2_00182.ogg,H2_00230.ogg,
Rindere,PainFellatio,1,H2_adult_60742.ogg,H2_adult_60790.ogg,
