Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Cool,Piston,0,S1_02309.ogg,S1_102717.ogg,
Cool,Piston,0,S1_02310.ogg,S1_102718.ogg,
Cool,Piston,0,S1_adult_53503.ogg,S1_adult_53719.ogg,
Cool,Piston,0,S1_adult_53504.ogg,S1_adult_53720.ogg,
Cool,Piston,1,S1_02311.ogg,S1_102719.ogg,
Cool,Piston,1,S1_02312.ogg,S1_102720.ogg,
Cool,Piston,1,S1_adult_53505.ogg,S1_adult_53721.ogg,
Cool,Piston,1,S1_adult_53506.ogg,S1_adult_53722.ogg,
Cool,Piston,2,S1_02313.ogg,S1_102721.ogg,
Cool,Piston,2,S1_02314.ogg,S1_102722.ogg,
Cool,Piston,2,S1_adult_53507.ogg,S1_adult_53723.ogg,
Cool,Piston,2,S1_adult_53508.ogg,S1_adult_53724.ogg,
Cool,Piston,3,S1_02315.ogg,S1_102723.ogg,
Cool,Piston,3,S1_02316.ogg,S1_102724.ogg,
Cool,Piston,3,S1_adult_53509.ogg,S1_adult_53725.ogg,
Cool,Piston,3,S1_adult_53510.ogg,S1_adult_53726.ogg,
Cool,Kiss,0,S1_02349.ogg,S1_02349.ogg,
Cool,Kiss,0,S1_02350.ogg,S1_02350.ogg,
Cool,Kiss,0,S1_adult_53551.ogg,S1_adult_53551.ogg,
Cool,Kiss,0,S1_adult_53552.ogg,S1_adult_53552.ogg,
Cool,Kiss,1,S1_02351.ogg,S1_02351.ogg,
Cool,Kiss,1,S1_02352.ogg,S1_02352.ogg,
Cool,Kiss,1,S1_adult_53553.ogg,S1_adult_53553.ogg,
Cool,Kiss,1,S1_adult_53554.ogg,S1_adult_53554.ogg,
Cool,Kiss,2,S1_02353.ogg,S1_02353.ogg,
Cool,Kiss,2,S1_02354.ogg,S1_02354.ogg,
Cool,Kiss,2,S1_adult_53555.ogg,S1_adult_53555.ogg,
Cool,Kiss,2,S1_adult_53556.ogg,S1_adult_53556.ogg,
Cool,Kiss,3,S1_02355.ogg,S1_02355.ogg,
Cool,Kiss,3,S1_02356.ogg,S1_02356.ogg,
Cool,Kiss,3,S1_adult_53557.ogg,S1_adult_53557.ogg,
Cool,Kiss,3,S1_adult_53558.ogg,S1_adult_53558.ogg,
Cool,Pain,0,S1_02333.ogg,S1_102717.ogg,
Cool,Pain,0,S1_02334.ogg,S1_102718.ogg,
Cool,Pain,0,S1_adult_53535.ogg,S1_adult_53719.ogg,
Cool,Pain,0,S1_adult_53536.ogg,S1_adult_53720.ogg,
Cool,Pain,1,S1_02335.ogg,S1_102719.ogg,
Cool,Pain,1,S1_02336.ogg,S1_102720.ogg,
Cool,Pain,1,S1_adult_53537.ogg,S1_adult_53721.ogg,
Cool,Pain,1,S1_adult_53538.ogg,S1_adult_53722.ogg,
Cool,Pain,2,S1_02337.ogg,S1_102721.ogg,
Cool,Pain,2,S1_02338.ogg,S1_102722.ogg,
Cool,Pain,2,S1_adult_53539.ogg,S1_adult_53723.ogg,
Cool,Pain,2,S1_adult_53540.ogg,S1_adult_53724.ogg,
Cool,Pain,3,S1_02339.ogg,S1_102723.ogg,
Cool,Pain,3,S1_02340.ogg,S1_102724.ogg,
Cool,Pain,3,S1_adult_53541.ogg,S1_adult_53725.ogg,
Cool,Pain,3,S1_adult_53542.ogg,S1_adult_53726.ogg,
Cool,Fellatio,0,S1_02357.ogg,S1_02357.ogg,
Cool,Fellatio,0,S1_02358.ogg,S1_02358.ogg,
Cool,Fellatio,0,S1_adult_53559.ogg,S1_adult_53559.ogg,
Cool,Fellatio,0,S1_adult_53560.ogg,S1_adult_53560.ogg,
Cool,Fellatio,1,S1_02359.ogg,S1_02359.ogg,
Cool,Fellatio,1,S1_02360.ogg,S1_02360.ogg,
Cool,Fellatio,1,S1_adult_53561.ogg,S1_adult_53561.ogg,
Cool,Fellatio,1,S1_adult_53562.ogg,S1_adult_53562.ogg,
Cool,Fellatio,2,S1_02361.ogg,S1_02361.ogg,
Cool,Fellatio,2,S1_02362.ogg,S1_02362.ogg,
Cool,Fellatio,2,S1_adult_53563.ogg,S1_adult_53563.ogg,
Cool,Fellatio,2,S1_adult_53564.ogg,S1_adult_53564.ogg,
Cool,Fellatio,3,S1_02363.ogg,S1_02363.ogg,
Cool,Fellatio,3,S1_02364.ogg,S1_02364.ogg,
Cool,Fellatio,3,S1_adult_53565.ogg,S1_adult_53565.ogg,
Cool,Fellatio,3,S1_adult_53566.ogg,S1_adult_53566.ogg,
Cool,DeepThroat,0,S1_02445.ogg,S1_102741.ogg,
Cool,DeepThroat,0,S1_02446.ogg,S1_102742.ogg,
Cool,DeepThroat,0,S1_adult_53679.ogg,S1_adult_53743.ogg,
Cool,DeepThroat,0,S1_adult_53680.ogg,S1_adult_53744.ogg,
Cool,DeepThroat,1,S1_02447.ogg,S1_102743.ogg,
Cool,DeepThroat,1,S1_02448.ogg,S1_102744.ogg,
Cool,DeepThroat,1,S1_adult_53681.ogg,S1_adult_53745.ogg,
