Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Devilish,Piston,0,H4_00853.ogg,H4_01069.ogg,
Devilish,Piston,0,H4_00854.ogg,H4_01070.ogg,
Devilish,Piston,0,H4_adult_57256.ogg,H4_adult_57472.ogg,
Devilish,Piston,0,H4_adult_57257.ogg,H4_adult_57473.ogg,
Devilish,Piston,1,H4_00855.ogg,H4_01071.ogg,
Devilish,Piston,1,H4_00856.ogg,H4_01072.ogg,
Devilish,Piston,1,H4_adult_57258.ogg,H4_adult_57474.ogg,
Devilish,Piston,1,H4_adult_57259.ogg,H4_adult_57475.ogg,
Devilish,Piston,2,H4_00857.ogg,H4_01073.ogg,
Devilish,Piston,2,H4_00858.ogg,H4_01074.ogg,
Devilish,Piston,2,H4_adult_57260.ogg,H4_adult_57476.ogg,
Devilish,Piston,2,H4_adult_57261.ogg,H4_adult_57477.ogg,
Devilish,Piston,3,H4_00859.ogg,H4_01075.ogg,
Devilish,Piston,3,H4_00860.ogg,H4_01076.ogg,
Devilish,Piston,3,H4_adult_57262.ogg,H4_adult_57478.ogg,
Devilish,Piston,3,H4_adult_57263.ogg,H4_adult_57479.ogg,
Devilish,Kiss,0,H4_00901.ogg,H4_00901.ogg,
Devilish,Kiss,0,H4_00902.ogg,H4_00902.ogg,
Devilish,Kiss,0,H4_adult_57304.ogg,H4_adult_57304.ogg,
Devilish,Kiss,0,H4_adult_57305.ogg,H4_adult_57305.ogg,
Devilish,Kiss,1,H4_00903.ogg,H4_00903.ogg,
Devilish,Kiss,1,H4_00904.ogg,H4_00904.ogg,
Devilish,Kiss,1,H4_adult_57306.ogg,H4_adult_57306.ogg,
Devilish,Kiss,1,H4_adult_57307.ogg,H4_adult_57307.ogg,
Devilish,Kiss,2,H4_00905.ogg,H4_00905.ogg,
Devilish,Kiss,2,H4_00906.ogg,H4_00906.ogg,
Devilish,Kiss,2,H4_adult_57308.ogg,H4_adult_57308.ogg,
Devilish,Kiss,2,H4_adult_57309.ogg,H4_adult_57309.ogg,
Devilish,Kiss,3,H4_00907.ogg,H4_00907.ogg,
Devilish,Kiss,3,H4_00908.ogg,H4_00908.ogg,
Devilish,Kiss,3,H4_adult_57310.ogg,H4_adult_57310.ogg,
Devilish,Kiss,3,H4_adult_57311.ogg,H4_adult_57311.ogg,
Devilish,Pain,0,H4_00885.ogg,H4_01069.ogg,
Devilish,Pain,0,H4_00886.ogg,H4_01070.ogg,
Devilish,Pain,0,H4_adult_57288.ogg,H4_adult_57472.ogg,
Devilish,Pain,0,H4_adult_57289.ogg,H4_adult_57473.ogg,
Devilish,Pain,1,H4_00887.ogg,H4_01071.ogg,
Devilish,Pain,1,H4_00888.ogg,H4_01072.ogg,
