SexPosID,DisplayName,MotionFile,GroupType,IsActive,Order,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,P110,P120,P130,P140,P150,P160,P170,P180,P190,P200,P210,P220,P230,IsDialogueAllowed,IsChoosable,IsBGGroupUse,Phase,MaidIndex,ManIndex,dummy
1,寝取らせ輪姦4P奉仕,sex_ran4p_housi_c001.ks,MMMF,TRUE,1,75400,75400,75400,59800,75400,75400,59800,59800,59800,59800,59800,59800,59800,75400,59800,59800,75400,75400,,,75400,75400,,TRUE,TRUE,TRUE,1,0,1;2;3,
2,寝取らせ輪姦3P両穴駅弁,sex_OM_haimenekiben_c001.ks,MMF,TRUE,2,75410,75410,75410,59810,75410,75410,59810,59810,59810,59810,59810,59810,59810,75410,59810,59810,75410,75410,,,75410,75410,,TRUE,TRUE,FALSE,1,0,1;2,
3,寝取らせ輪姦3P両穴後背位,sex_ran3p_ude_2ana_c002.ks,MMF,TRUE,3,75420,75420,75420,59820,75420,75420,59820,59820,59820,59820,59820,59820,59820,75420,59820,59820,75420,75420,,,75420,75420,,TRUE,TRUE,TRUE,1,0,1;2,
4,寝取らせ輪姦3P両穴セックス,sex_ran3p_2ana_c001.ks,MMF,TRUE,4,75430,75430,75430,59830,75430,75430,59830,59830,59830,59830,59830,59830,59830,75430,59830,59830,75430,75430,,,75430,75430,,TRUE,TRUE,TRUE,1,0,1;2,
5,【ドスケベビッチ】乱交4P奉仕,sex_ran4p_housi.ks,MMMF,TRUE,11,83500,83500,83500,89400,89400,,,83200,83200,83200,86900,86900,86900,86900,89400,86900,86900,89400,,,89400,89400,,TRUE,TRUE,TRUE,2,0,0;1;2,
6,【ドスケベビッチ】乱交3P2穴駅弁,sex_ran3p_ekiben_c002.ks,MMF,TRUE,12,83510,83510,83510,89410,89410,,,83210,83210,83210,86910,86910,86910,86910,89410,86910,86910,89410,,,89410,89410,,TRUE,TRUE,TRUE,2,0,0;1,
7,【ドスケベビッチ】乱交4P台上正常位,sex_ran4p_dai_seijyoui.ks,MMMF,TRUE,13,83520,83520,83520,89420,89420,,,83220,83220,83220,86920,86920,86920,86920,89420,86920,86920,89420,,,89420,89420,,TRUE,TRUE,TRUE,2,0,0;1;2,
8,【ドスケベビッチ】乱交4P台上アナル正常位,sex_ran4p_dai_seijyouiA.ks,MMMF,TRUE,14,83530,83530,83530,89430,89430,,,83230,83230,83230,86930,86930,86930,86930,89430,86930,86930,89430,,,89430,89430,,TRUE,TRUE,TRUE,2,0,0;1;2,
9,乱交奉仕,sex_ran3p_housi.ks,MMF,TRUE,21,,,,,,840,840,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,2,0,0;1,
10,乱交3P2穴セックス,sex_ran3p_2ana.ks,MMF,TRUE,22,,,,,,870,870,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,2,0,0;1,
11,乱交3P腕持ち後背位,sex_ran3p_udemoti_kouhaii_fera.ks,MMF,TRUE,23,,,,,,85300,85300,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,2,0,0;1,
12,乱交3P両穴駅弁,sex_ran3p_ekiben.ks,MMF,TRUE,24,,,,,,85320,85320,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,2,0,0;1,
13,寝取らせ輪姦3P両穴駅弁,sex_ran3p_ekiben.ks,MMF,TRUE,100,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,1,0,0;1,
14,ドスケベ正常位,sex_OM_seijyoui.ks,MF,TRUE,50,77060,77060,77060,80060,80060,80060,80060,77060,77060,77060,79060,79060,79060,79060,79060,79060,80060,80060,,,80860,80860,,FALSE,TRUE,TRUE,3,0,0;1,
15,ドスケベアナル正常位,sex_OM_seijyouiA.ks,MF,TRUE,51,77070,77070,77070,80070,80070,80070,80070,77070,77070,77070,79070,79070,79070,79070,79070,79070,80070,80070,,,80870,80870,,FALSE,TRUE,TRUE,3,0,0;1,
16,ドスケベ後背位,sex_OM_kouhaii.ks,MF,TRUE,52,77080,77080,77080,80080,80080,80080,80080,77080,77080,77080,79080,79080,79080,79080,79080,79080,80080,80080,,,80880,80880,,FALSE,TRUE,TRUE,3,0,0;1,
17,ドスケベアナル後背位,sex_OM_kouhaiiA.ks,MF,TRUE,53,77090,77090,77090,80090,80090,80090,80090,77090,77090,77090,79090,79090,79090,79090,79090,79090,80090,80090,,,80890,80890,,FALSE,TRUE,TRUE,3,0,0;1,
