Personality,MotionType,ExcitementLevel,Normal,Estrus,dummy
Curtness,Piston,0,H8_01131.ogg,H8_01347.ogg,
Curtness,Piston,0,H8_01132.ogg,H8_01348.ogg,
Curtness,Piston,0,H8_adult_56103.ogg,H8_adult_56319.ogg,
Curtness,Piston,0,H8_adult_56104.ogg,H8_adult_56320.ogg,
Curtness,Piston,1,H8_01133.ogg,H8_01349.ogg,
Curtness,Piston,1,H8_01134.ogg,H8_01350.ogg,
Curtness,Piston,1,H8_adult_56105.ogg,H8_adult_56321.ogg,
Curtness,Piston,1,H8_adult_56106.ogg,H8_adult_56322.ogg,
Curtness,Piston,2,H8_01135.ogg,H8_01351.ogg,
Curtness,Piston,2,H8_01136.ogg,H8_01352.ogg,
Curtness,Piston,2,H8_adult_56107.ogg,H8_adult_56323.ogg,
Curtness,Piston,2,H8_adult_56108.ogg,H8_adult_56324.ogg,
Curtness,Piston,3,H8_01137.ogg,H8_01353.ogg,
Curtness,Piston,3,H8_01138.ogg,H8_01354.ogg,
Curtness,Piston,3,H8_adult_56109.ogg,H8_adult_56325.ogg,
Curtness,Piston,3,H8_adult_56110.ogg,H8_adult_56326.ogg,
Curtness,Kiss,0,H8_01179.ogg,H8_01179.ogg,
Curtness,Kiss,0,H8_01180.ogg,H8_01180.ogg,
Curtness,Kiss,0,H8_adult_56151.ogg,H8_adult_56151.ogg,
Curtness,Kiss,0,H8_adult_56152.ogg,H8_adult_56152.ogg,
Curtness,Kiss,1,H8_01181.ogg,H8_01181.ogg,
Curtness,Kiss,1,H8_01182.ogg,H8_01182.ogg,
Curtness,Kiss,1,H8_adult_56153.ogg,H8_adult_56153.ogg,
Curtness,Kiss,1,H8_adult_56154.ogg,H8_adult_56154.ogg,
Curtness,Kiss,2,H8_01183.ogg,H8_01183.ogg,
Curtness,Kiss,2,H8_01184.ogg,H8_01184.ogg,
Curtness,Kiss,2,H8_adult_56155.ogg,H8_adult_56155.ogg,
Curtness,Kiss,2,H8_adult_56156.ogg,H8_adult_56156.ogg,
Curtness,Kiss,3,H8_01185.ogg,H8_01185.ogg,
Curtness,Kiss,3,H8_01186.ogg,H8_01186.ogg,
Curtness,Kiss,3,H8_adult_56157.ogg,H8_adult_56157.ogg,
Curtness,Kiss,3,H8_adult_56158.ogg,H8_adult_56158.ogg,
Curtness,Pain,0,H8_01163.ogg,H8_01347.ogg,
Curtness,Pain,0,H8_01164.ogg,H8_01348.ogg,
Curtness,Pain,0,H8_adult_56135.ogg,H8_adult_56319.ogg,
Curtness,Pain,0,H8_adult_56136.ogg,H8_adult_56320.ogg,
Curtness,Pain,1,H8_01167.ogg,H8_01349.ogg,
Curtness,Pain,1,H8_01168.ogg,H8_01350.ogg,
Curtness,Pain,1,H8_adult_56139.ogg,H8_adult_56321.ogg,
Curtness,Pain,1,H8_adult_56140.ogg,H8_adult_56322.ogg,
Curtness,Pain,2,H8_01165.ogg,H8_01351.ogg,
Curtness,Pain,2,H8_01166.ogg,H8_01352.ogg,
Curtness,Pain,2,H8_adult_56137.ogg,H8_adult_56323.ogg,
